hit_index,sensor_hit_index,track_index,x_intersect,y_intersect,z_intersect,x_hit,y_hit,z_hit,pT,phi0,cellID,distance,matched_sensor_id,sensor_x_mm,sensor_y_mm,sensor_z_mm,candidate_sensor_ids,hit_row,hit_col,expected_row,expected_col
37,0,828,-89.87312268266396,90.73992285299755,129.65992736816406,-90.40693,90.30169,129.65993,6.9649577140808105,-2.3527705669403076,335626243,0.6906504049596988,340.0,-79.1832048361,99.29259827339999,135.45,"[340, 372]",242.0,153.0,259.8929831839024,174.40328613744157
37,1,828,-91.62962832446647,92.51835010394643,132.1976318359375,-92.16564,92.07929,132.19763,6.9649577140808105,-2.3527705669403076,335634435,0.6928796338750294,372.0,-101.24717697999999,80.7419293407,135.45,"[340, 372]",1055.0,965.0,1073.0568305298573,986.7019462213409
38,0,714,-114.48727213588427,54.8598002124636,129.42384338378906,-115.222435,53.370686,129.42384,6.936047554016113,-2.6961135864257812,335642627,1.6607007043919373,404.0,-114.423046224,55.1032348679,135.45,[404],532.0,570.0,592.2626137825438,599.4309635246293
39,0,671,126.97903430237966,-10.612985167143052,124.76986694335938,126.9685,-10.330809,124.76987,7.221362113952637,0.08206341415643692,335544323,0.2823731601257641,20.0,127.0,0.0,135.45,[20],188.0,600.0,177.48059331427797,601.1613720951863
40,0,990,127.03883701186896,25.200483892469492,126.86227416992186,127.01528,25.335838,126.862274,7.218883514404297,-0.19717174768447876,335552515,0.13738877051998488,52.0,126.25316462800001,28.8164609473,135.45,[52],462.0,632.0,457.36091780677964,633.4268953547581
41,0,605,-81.03147993807215,-97.6014331832921,128.6059112548828,-79.56914,-98.944534,128.60591,6.974789142608643,2.2623353004455566,335691779,1.9855391727186693,596.0,-79.1832048361,-99.29259827339999,135.45,[596],615.0,586.0,669.6466036043154,528.0689959211139
42,0,30,129.31027599958907,14.728945601375017,127.44656372070311,129.29861,15.331929,127.44656,7.220864295959473,-0.11476688086986542,335552515,0.6030963596279499,52.0,126.25316462800001,28.8164609473,135.45,[52],62.0,723.0,38.49938616300065,724.2844548635622
43,0,773,80.49100372462999,98.21851356697516,125.31596374511719,80.62579,98.10188,125.31596,7.165355682373047,-0.8856012225151062,335577091,0.17824414822360404,148.0,79.1832048361,99.29259827339999,135.45,[148],554.0,659.0,559.0366117430068,654.3119555411994
44,0,195,107.48286489488237,73.11466328673123,127.75405883789062,107.64024,72.67476,127.75406,7.195023059844971,-0.5986990928649902,335568899,0.4672086199420853,116.0,101.24717697999999,80.7419293407,135.45,[116],279.0,857.0,296.9093578412492,851.427516595295
45,0,803,-129.1005024843971,-16.219275720854057,132.89820861816406,-129.04172,-16.45748,132.89821,6.923003196716309,3.015204906463623,335667203,0.24535015865943524,500.0,-126.25316462800001,-28.8164609473,135.45,[500],1096.0,490.0,1105.8874090578377,488.1064857441163
